	CR.20.CE.Day0	CR.20.Stool.Day0	CR.21.CE.Day0	CR.21.Stool.Day0	CR.22.CE.Day0	CR.22.Stool.Day0	CR.23.CE.Day0	CR.23.Stool.Day0	Env.10.CE.Day1	Env.11.CE.Day1	Env.11.Stool.Day0	Env.12.CE.Day1	Env.12.Stool.Day0	Env.13.CE.Day1	Env.13.Stool.Day0	Evn.10.Stool.Day0	Jax.40.CE.Day1	Jax.40.Stool.Day0	Jax.41.CE.Day1	Jax.41.Stool.Day0	Jax.42.CE.Day1	Jax.42.Stool.Day0	Jax.43.CE.Day1	Jax.43.Stool.Day0	Tac.30.CE.Day1	Tac.30.Stool.Day0	Tac.31.CE.Day1	Tac.31.Stool.Day0	Tac.32.CE.Day1	Tac.32.Stool.Day0	Tac.33.CE.Day1	Tac.33.Stool.Day0
Env.11.Stool.Day0	0.21910691477977384	0.23167620182738613	0.23590092912559385	0.16062120448121975	0.2177900544320297	0.17379085864419347	0.27340893975096836	0.3302361773434519	0.21144203659555977	0.14773674968913517	0	0.10738394266861918	0.1347193193953668	0.12675672771299906	0.13474077965590206	0.18880939916344475	0.3781897330248693	0.5112945640760975	0.3643876372989018	0.4388346116211524	0.3735191463378429	0.4764931147423751	0.2755297877162275	0.2828708944402091	0.27658736601787837	0.32908017628825526	0.271992841930052	0.3009014297921047	0.28631382383762954	0.3310128232999044	0.2531558908349674	0.3011987880223492
Env.12.CE.Day1	0.1971204514584134	0.2250559985642508	0.20699775557255515	0.15652154090358977	0.1910095541482908	0.15873812208529864	0.23995339956574097	0.3093317116433151	0.2201196182549538	0.17664372674436363	0.10738394266861918	0	0.1499370455341541	0.12353434052713422	0.13691475689502272	0.1888168249999135	0.4169156081505941	0.549300906988354	0.39998913078823217	0.4851532471479562	0.4108134036507367	0.5167443248954473	0.30891253996969814	0.3322558637199995	0.31436709633862686	0.3612765065045546	0.31528738780390675	0.32863013044053624	0.31826588200023237	0.3587609647685824	0.29621082831377954	0.3322644203290116
Env.12.Stool.Day0	0.24328527989246931	0.22514017590913793	0.2540811617219272	0.2149673712946632	0.2350717494929224	0.21854292210889192	0.289228989517834	0.3175320054981037	0.3019245085551564	0.24105061953233775	0.1347193193953668	0.1499370455341541	0	0.19696341160178144	0.11746837174250316	0.15303499115522703	0.3753235225329955	0.49224395140547056	0.36730127895265147	0.4143574936585503	0.3658327625850624	0.46104300636196016	0.2863536260998374	0.2766142125411678	0.3240742038628185	0.34783633828493443	0.3515797792701259	0.37592292296828506	0.30582225702082055	0.325291578261476	0.30936743623766494	0.3495288341028542
Env.13.CE.Day1	0.22725456316425352	0.27720685642922516	0.23501845367963972	0.1716110032415228	0.21807477539688336	0.17841128969441858	0.2730841274321496	0.35449678228297243	0.15292611514933074	0.11281315023419	0.12675672771299906	0.12353434052713422	0.19696341160178144	0	0.2090805297738721	0.26083819789012785	0.3835994691570384	0.5161656732356975	0.3567315380452468	0.4712604831610918	0.3827716301784316	0.4751637195423184	0.2772652833832165	0.3118970674784494	0.24491840938346193	0.2885002535000517	0.2452031269156182	0.25491296103430977	0.24964617171884024	0.31492384630474657	0.22369622045507875	0.2592881016726299
Env.13.Stool.Day0	0.20376342430256972	0.17328685465714455	0.20060473185222943	0.19807216230182947	0.19907311668678496	0.20477046098578416	0.23958455662950223	0.27110787214940485	0.2984546814007242	0.2406334067295693	0.13474077965590206	0.13691475689502272	0.11746837174250316	0.2090805297738721	0	0.09191099830289348	0.44174014180812166	0.5641560530889802	0.4455005727122738	0.49245071225863746	0.43785130009826634	0.5348763841554176	0.36570933338753153	0.35144166143049316	0.3724025781917671	0.4305459768220406	0.3694881856563922	0.40494217422869105	0.3806867071883728	0.3982642291444458	0.35443448627101154	0.4004993422603642
Evn.10.Stool.Day0	0.25121223580785035	0.17167480177393407	0.2433652284725653	0.2556100571769844	0.24709330595864537	0.2601867952147606	0.26706555032319285	0.25810768812317675	0.3644910785686566	0.29326647314057896	0.18880939916344475	0.1888168249999135	0.15303499115522703	0.26083819789012785	0.09191099830289348	0	0.4885054933179962	0.5945211198060292	0.4932531236074803	0.5149018728954429	0.4814310013112899	0.5663687249361006	0.4142990916125926	0.40046116367443096	0.42753422106051014	0.4823334895181152	0.4240071072945587	0.45818076005965114	0.43272519140046906	0.4497181142496707	0.405535995754334	0.45570037554162784
Jax.40.CE.Day1	0.4688619103059022	0.48422970876248583	0.4778149074352808	0.4280030344377854	0.4640058347216366	0.44174965103234887	0.5133992513106592	0.5566368200333458	0.37803136609251753	0.3552145691172448	0.3781897330248693	0.4169156081505941	0.3753235225329955	0.3835994691570384	0.44174014180812166	0.4885054933179962	0	0.16474310415870272	0.08760207151649453	0.15626930706684847	0.0397004145939335	0.12885703021410372	0.1690954968784879	0.1699171682757236	0.33317395775626557	0.30702466167091624	0.35468054661966275	0.3732427408903128	0.3038874788392478	0.2227423037752692	0.32449821676914026	0.35120872981053963
Jax.40.Stool.Day0	0.5990502202500865	0.6076909793758332	0.6075012469248139	0.5568577140047705	0.5925304350752413	0.5668212712943741	0.6321077666009474	0.6568039858913012	0.4982928702265555	0.48854928420400767	0.5112945640760975	0.549300906988354	0.49224395140547056	0.5161656732356975	0.5641560530889802	0.5945211198060292	0.16474310415870272	0	0.2239881278478508	0.11413628295617352	0.18379895730800455	0.0759177615615308	0.31532806234474187	0.31376537678223176	0.4549517380004412	0.42968830175721	0.4752733031710832	0.4982368471083613	0.4243502305773582	0.3397423994858614	0.44628441971737176	0.4700236555325011
Jax.41.CE.Day1	0.4495268633078542	0.48589397540425133	0.46649207766555745	0.4057284848908855	0.447423126157172	0.4185424472266685	0.5001363185643934	0.5581765490746441	0.34396065439167706	0.3314202628003128	0.3643876372989018	0.39998913078823217	0.36730127895265147	0.3567315380452468	0.4455005727122738	0.4932531236074803	0.08760207151649453	0.2239881278478508	0	0.20760762119237508	0.0784460480553186	0.1752056736300321	0.13468159816378944	0.15089498654252514	0.295756336782446	0.2709363020988428	0.3207768895799141	0.3367574163386723	0.2735428605501997	0.2156276545123305	0.28895304946420447	0.311011918915156
Jax.41.Stool.Day0	0.5521262466943258	0.5358481219156626	0.5590953273291348	0.5101037941558412	0.5461600429005606	0.5247795916254325	0.5880530865600133	0.6066836220634866	0.5033672408888379	0.4435810866951084	0.4388346116211524	0.4851532471479562	0.4143574936585503	0.4712604831610918	0.49245071225863746	0.5149018728954429	0.15626930706684847	0.11413628295617352	0.20760762119237508	0	0.15611781103391947	0.10364220897876156	0.2557373462813014	0.2240067547670434	0.462286707804602	0.4360742608562497	0.4841623977084916	0.5027657152292585	0.43414863964310657	0.33323695367373357	0.4531885012815501	0.4789880956736522
